date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:55	36259/36259	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-8da3%22	http://hitsz-cslab.gitee.io/os-labs/lab3/part2/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab3/part2/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:38:57	86288/86288	---M--	200	added ('OK')	application/font-woff	etag:%22637d7308-15110%22	http://hitsz-cslab.gitee.io/os-labs/css/fonts/Roboto-Slab-Regular.woff?c1be9284088d487c5e3ff0a10a92e58c	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/fonts/Roboto-Slab-Regular4c99.woff	(from http://hitsz-cslab.gitee.io/os-labs/css/theme.css)
20:38:58	21215/21215	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-52df%22	http://hitsz-cslab.gitee.io/os-labs/lab3/part3/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab3/part3/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:39:00	66444/66444	---MCZ	200	added ('OK')	text/plain	etag:W/%22637d7308-1038c%22	http://hitsz-cslab.gitee.io/os-labs/css/fonts/Roboto-Slab-Regular.woff2?7abf5b8d04d26a2cafea937019bca958	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/fonts/Roboto-Slab-Regular2a4d.woff2	(from http://hitsz-cslab.gitee.io/os-labs/css/theme.css)
20:39:02	35323/35323	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-89fb%22	http://hitsz-cslab.gitee.io/os-labs/lab3/part4/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab3/part4/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:39:02	328412/328412	---M--	200	added ('OK')	application/font-woff	etag:%22637d7308-502dc%22	http://hitsz-cslab.gitee.io/os-labs/css/fonts/lato-normal-italic.woff?f28f2d6482446544ef1ea1ccc6dd5892	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/fonts/lato-normal-italic9875.woff	(from http://hitsz-cslab.gitee.io/os-labs/css/theme.css)
20:39:03	11107/11107	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-2b63%22	http://hitsz-cslab.gitee.io/os-labs/lab3/part5/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab3/part5/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:39:04	28733/28733	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-703d%22	http://hitsz-cslab.gitee.io/os-labs/lab4/part1/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab4/part1/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:39:05	44581/44581	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-ae25%22	http://hitsz-cslab.gitee.io/os-labs/lab4/part2/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab4/part2/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:39:06	36487/36487	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-8e87%22	http://hitsz-cslab.gitee.io/os-labs/lab4/part3/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab4/part3/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:39:06	11080/11080	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-2b48%22	http://hitsz-cslab.gitee.io/os-labs/lab4/part4/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab4/part4/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:39:06	18315/18315	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-478b%22	http://hitsz-cslab.gitee.io/os-labs/lab5/part1/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab5/part1/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
